Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
7.838	2000	7.838	17.20842	7.838	0	7.838	3	7.838	0.07			225.0755	"WARNING 13: Last tube has been reached; change tubes in the fraction collector and press ‘Continue’ to continue the run with fractionation."	
8.038	2000	8.038	17.23	8.038	0	8.038	3	8.038	0.07			225.0755	"<ACK> Default WARNING 13: Last tube has been reached; change tubes in the fraction collector and press ‘Continue’ to continue the run with fractionation. has been acknowledged"	
8.238	2000	8.238	17.26	8.238	0	8.238	3	8.238	0.07			225.0755	"BufferValve Buffer A"	
8.438	2000	8.438	17.29	8.438	0	8.438	3	8.438	0.07			225.0755	"SampleValve Buffer"	
8.638	2000	8.638	17.32	8.638	0	8.638	3	8.638	0.07			225.0755	"WashValve Waste"	
8.838	2000	8.838	17.34	8.838	0	8.838	3	8.838	0.07			225.0755	"OutletValve Waste"	
9.038	2000	9.038	17.35	9.038	0	9.038	3	9.038	0.07			225.0755	"End 12/13/2023 7:42:57 PM +00:00"	
9.238	2000	9.238	17.36	9.238	0	9.238	3	9.238	0.05					
9.438	2000	9.438	17.36	9.438	0	9.438	3	9.438	0.07					
9.638	2000	9.638	17.36	9.638	0	9.638	3	9.638	0.07					
9.838	2000	9.838	17.36	9.838	0	9.838	3	9.838	0.07					
10.038	2000	10.038	17.36	10.038	0	10.038	3	10.038	0.05					
10.238	2000	10.238	17.35	10.238	0	10.238	3	10.238	0.07					
10.438	2000	10.438	17.35	10.438	0	10.438	3	10.438	0.07					
10.638	2000	10.638	17.34	10.638	0	10.638	3	10.638	0.07					
10.838	2000	10.838	17.34	10.838	0	10.838	3	10.838	0.07					
11.038	2000	11.038	17.34	11.038	0	11.038	3	11.038	0.07					
11.238	2000	11.238	17.33	11.238	0	11.238	3	11.238	0.05					
11.438	2000	11.438	17.33	11.438	0	11.438	3	11.438	0.07					
11.638	2000	11.638	17.33	11.638	0	11.638	3	11.638	0.07					
11.838	2000	11.838	17.33	11.838	0	11.838	3	11.838	0.07					
12.038	2000	12.038	17.32	12.038	0	12.038	3	12.038	0.07					
12.238	2000	12.238	17.32	12.238	0	12.238	3	12.238	0.07					
12.438	2000	12.438	17.32	12.438	0	12.438	3	12.438	0.07					
12.638	2000	12.638	17.32	12.638	0	12.638	3	12.638	0.07					
12.837	2000	12.837	17.32	12.837	0	12.837	3	12.837	0.07					
13.037	2000	13.037	17.32	13.037	0	13.037	3	13.037	0.07					
13.237	2000	13.237	17.32	13.237	0	13.237	3	13.237	0.07					
13.437	2000	13.437	17.32	13.437	0	13.437	3	13.437	0.07					
13.637	2000	13.637	17.32	13.637	0	13.637	3	13.637	0.07					
13.837	2000	13.837	17.32	13.837	0	13.837	3	13.837	0.07					
14.037	2000	14.037	17.32	14.037	0	14.037	3	14.037	0.07					
