Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
62.028	2000	62.028	17.25	62.028	0	62.028	3	62.028	0.08					
62.227	2000	62.227	17.25	62.227	0	62.227	3	62.227	0.08					
62.427	2000	62.427	17.25	62.427	0	62.427	3	62.427	0.08					
62.627	2000	62.627	17.26	62.627	0	62.627	3	62.627	0.08					
62.827	2000	62.827	17.26	62.827	0	62.827	3	62.827	0.08					
63.027	2000	63.027	17.26	63.027	0	63.027	3	63.027	0.08					
63.227	2000	63.227	17.26	63.227	0	63.227	3	63.227	0.08					
63.427	2000	63.427	17.27	63.427	0	63.427	3	63.427	0.08					
63.627	2000	63.627	17.27	63.627	0	63.627	3	63.627	0.08					
63.827	2000	63.827	17.27	63.827	0	63.827	3	63.827	0.08					
64.027	2000	64.027	17.28	64.027	0	64.027	3	64.027	0.08					
64.227	2000	64.227	17.28	64.227	0	64.227	3	64.227	0.08					
64.427	2000	64.427	17.29	64.427	0	64.427	3	64.427	0.08					
64.627	2000	64.627	17.29	64.627	0	64.627	3	64.627	0.08					
64.827	2000	64.827	17.29	64.827	0	64.827	3	64.827	0.08					
65.027	2000	65.027	17.29	65.027	0	65.027	3	65.027	0.08					
65.227	2000	65.227	17.3	65.227	0	65.227	3	65.227	0.08					
65.427	2000	65.427	17.3	65.427	0	65.427	3	65.427	0.08					
65.627	2000	65.627	17.3	65.627	0	65.627	3	65.627	0.08					
65.827	2000	65.827	17.3	65.827	0	65.827	3	65.827	0.08					
66.027	2000	66.027	17.3	66.027	0	66.027	3	66.027	0.08					
66.227	2000	66.227	17.3	66.227	0	66.227	3	66.227	0.08					
66.427	2000	66.427	17.3	66.427	0	66.427	3	66.427	0.08					
66.627	2000	66.627	17.3	66.627	0	66.627	3	66.627	0.08					
66.827	2000	66.827	17.3	66.827	0	66.827	3	66.827	0.08					
67.026	2000	67.026	17.3	67.026	0	67.026	3	67.026	0.08					
67.226	2000	67.226	17.29	67.226	0	67.226	3	67.226	0.08					
67.426	2000	67.426	17.29	67.426	0	67.426	3	67.426	0.08					
67.626	2000	67.626	17.29	67.626	0	67.626	3	67.626	0.08					
67.826	2000	67.826	17.29	67.826	0	67.826	3	67.826	0.08					
68.026	2000	68.026	17.28	68.026	0	68.026	3	68.026	0.08					
68.226	2000	68.226	17.28	68.226	0	68.226	3	68.226	0.08					
68.426	2000	68.426	17.28	68.426	0	68.426	3	68.426	0.08					
68.626	2000	68.626	17.28	68.626	0	68.626	3	68.626	0.08					
68.826	2000	68.826	17.28	68.826	0	68.826	3	68.826	0.08					
69.026	2000	69.026	17.28	69.026	0	69.026	3	69.026	0.08					
69.226	2000	69.226	17.27	69.226	0	69.226	3	69.226	0.08					
69.426	2000	69.426	17.27	69.426	0	69.426	3	69.426	0.08					
69.626	2000	69.626	17.27	69.626	0	69.626	3	69.626	0.08					
69.826	2000	69.826	17.27	69.826	0	69.826	3	69.826	0.08					
70.026	2000	70.026	17.27	70.026	0	70.026	3	70.026	0.08					
70.226	2000	70.226	17.27	70.226	0	70.226	3	70.226	0.08					
70.426	2000	70.426	17.28	70.426	0	70.426	3	70.426	0.08					
70.626	2000	70.626	17.28	70.626	0	70.626	3	70.626	0.08					
70.826	2000	70.826	17.28	70.826	0	70.826	3	70.826	0.08					
71.026	2000	71.026	17.28	71.026	0	71.026	3	71.026	0.08					
71.226	2000	71.226	17.28	71.226	0	71.226	3	71.226	0.08					
71.426	2000	71.426	17.29	71.426	0	71.426	3	71.426	0.09					
71.626	2000	71.626	17.29	71.626	0	71.626	3	71.626	0.08					
71.826	2000	71.826	17.29	71.826	0	71.826	3	71.826	0.08					
72.025	2000	72.025	17.29	72.025	0	72.025	3	72.025	0.09					
72.225	2000	72.225	17.29	72.225	0	72.225	3	72.225	0.08					
72.425	2000	72.425	17.3	72.425	0	72.425	3	72.425	0.08					
72.625	2000	72.625	17.3	72.625	0	72.625	3	72.625	0.08					
72.825	2000	72.825	17.3	72.825	0	72.825	3	72.825	0.09					
73.025	2000	73.025	17.3	73.025	0	73.025	3	73.025	0.09					
73.225	2000	73.225	17.29	73.225	0	73.225	3	73.225	0.09					
73.425	2000	73.425	17.29	73.425	0	73.425	3	73.425	0.09					
73.625	2000	73.625	17.29	73.625	0	73.625	3	73.625	0.09					
73.825	2000	73.825	17.29	73.825	0	73.825	3	73.825	0.09					
74.025	2000	74.025	17.29	74.025	0	74.025	3	74.025	0.08					
74.225	2000	74.225	17.29	74.225	0	74.225	3	74.225	0.09					
74.425	2000	74.425	17.29	74.425	0	74.425	3	74.425	0.09					
74.625	2000	74.625	17.29	74.625	0	74.625	3	74.625	0.09					
74.825	2000	74.825	17.3	74.825	0	74.825	3	74.825	0.08					
75.025	2000	75.025	17.3	75.025	0	75.025	3	75.025	0.09					
75.225	2000	75.225	17.3	75.225	0	75.225	3	75.225	0.08					
75.425	2000	75.425	17.3	75.425	0	75.425	3	75.425	0.08					
75.625	2000	75.625	17.3	75.625	0	75.625	3	75.625	0.08					
75.825	2000	75.825	17.3	75.825	0	75.825	3	75.825	0.09					
76.025	2000	76.025	17.3	76.025	0	76.025	3	76.025	0.09					
76.225	2000	76.225	17.31	76.225	0	76.225	3	76.225	0.09					
76.425	2000	76.425	17.31	76.425	0	76.425	3	76.425	0.09					
76.625	2000	76.625	17.31	76.625	0	76.625	3	76.625	0.09					
76.824	2000	76.824	17.31	76.824	0	76.824	3	76.824	0.08					
77.024	2000	77.024	17.31	77.024	0	77.024	3	77.024	0.08					
77.224	2000	77.224	17.31	77.224	0	77.224	3	77.224	0.09					
77.424	2000	77.424	17.31	77.424	0	77.424	3	77.424	0.08					
77.624	2000	77.624	17.31	77.624	0	77.624	3	77.624	0.08					
77.824	2000	77.824	17.32	77.824	0	77.824	3	77.824	0.08					
78.024	2000	78.024	17.32	78.024	0	78.024	3	78.024	0.09					
78.224	2000	78.224	17.33	78.224	0	78.224	3	78.224	0.08					
78.424	2000	78.424	17.34	78.424	0	78.424	3	78.424	0.09					
78.624	2000	78.624	17.34	78.624	0	78.624	3	78.624	0.08					
78.824	2000	78.824	17.34	78.824	0	78.824	3	78.824	0.04					
79.024	2000	79.024	17.34	79.024	0	79.024	3	79.024	0.08					
79.224	2000	79.224	17.33	79.224	0	79.224	3	79.224	0.09					
79.424	2000	79.424	17.32	79.424	0	79.424	3	79.424	0.04					
79.624	2000	79.624	17.32	79.624	0	79.624	3	79.624	0.08					
79.824	2000	79.824	17.31	79.824	0	79.824	3	79.824	0.08					
80.024	2000	80.024	17.3	80.024	0	80.024	3	80.024	0.08					
80.224	2000	80.224	17.29	80.224	0	80.224	3	80.224	0.08					
80.424	2000	80.424	17.28	80.424	0	80.424	3	80.424	0.08					
80.624	2000	80.624	17.27	80.624	0	80.624	3	80.624	0.08					
80.824	2000	80.824	17.27	80.824	0	80.824	3	80.824	0.08					
81.024	2000	81.024	17.27	81.024	0	81.024	3	81.024	0.08					
81.224	2000	81.224	17.27	81.224	0	81.224	3	81.224	0.08					
81.424	2000	81.424	17.28	81.424	0	81.424	3	81.424	0.08					
81.623	2000	81.623	17.29	81.623	0	81.623	3	81.623	0.08					
81.823	2000	81.823	17.3	81.823	0	81.823	3	81.823	0.08					
82.023	2000	82.023	17.3	82.023	0	82.023	3	82.023	0.08					
82.223	2000	82.223	17.32	82.223	0	82.223	3	82.223	0.07					
82.423	2000	82.423	17.33	82.423	0	82.423	3	82.423	0.08					
82.623	2000	82.623	17.35	82.623	0	82.623	3	82.623	0.08					
82.823	2000	82.823	17.36	82.823	0	82.823	3	82.823	0.08					
83.023	2000	83.023	17.38	83.023	0	83.023	3	83.023	0.08					
83.223	2000	83.223	17.39	83.223	0	83.223	3	83.223	0.08					
83.423	2000	83.423	17.40407	83.423	0	83.423	3	83.423	0.08					
83.623	2000	83.623	17.42	83.623	0	83.623	3	83.623	0.08					
83.823	2000	83.823	17.43	83.823	0	83.823	3	83.823	0.08					
84.023	2000	84.023	17.44	84.023	0	84.023	3	84.023	0.08					
84.223	1999.77	84.223	17.45	84.223	0	84.223	3	84.223	0.08					
84.423	1953.256	84.423	17.46	84.423	0	84.423	3	84.423	0.08					
84.623	1811.888	84.623	17.46	84.623	0	84.623	3	84.623	0.08					
84.823	1584.117	84.823	17.46	84.823	0	84.823	3	84.823	0.08					
85.023	1353.39	85.023	17.45	85.023	0	85.023	3	85.023	0.08					
85.223	1139.47	85.223	17.43	85.223	0	85.223	3	85.223	0.07					
85.423	956	85.423	17.40672	85.423	0	85.423	3	85.423	0.08					
85.623	788.6036	85.623	17.38	85.623	0	85.623	3	85.623	0.08					
85.823	654.7226	85.823	17.34	85.823	0	85.823	3	85.823	0.08					
86.023	551.69	86.023	17.31	86.023	0	86.023	3	86.023	0.08					
86.223	480.44	86.223	17.28	86.223	0	86.223	3	86.223	0.08					
86.422	425.17	86.422	17.25715	86.422	0	86.422	3	86.422	0.08					
86.622	381.3325	86.622	17.23726	86.622	0	86.622	3	86.622	0.08					
86.822	346.1069	86.822	17.22	86.822	0	86.822	3	86.822	0.08					
87.022	319.2663	87.022	17.22	87.022	0	87.022	3	87.022	0.08					
87.222	299.62	87.222	17.22	87.222	0	87.222	3	87.222	0.08					
87.422	282.87	87.422	17.22	87.422	0	87.422	3	87.422	0.08					
87.622	268.1181	87.622	17.23	87.622	0	87.622	3	87.622	0.08					
87.822	254.0746	87.822	17.23	87.822	0	87.822	3	87.822	0.08					
88.022	240.7372	88.022	17.23	88.022	0	88.022	3	88.022	0.07					
88.222	228.96	88.222	17.23	88.222	0	88.222	3	88.222	0.08					
88.422	218.64	88.422	17.23	88.422	0	88.422	3	88.422	0.08					
88.622	208.7986	88.622	17.24	88.622	0	88.622	3	88.622	0.08					
88.822	199.7787	88.822	17.24	88.822	0	88.822	3	88.822	0.08					
89.022	190.723	89.022	17.24	89.022	0	89.022	3	89.022	0.08					
89.222	182.42	89.222	17.24	89.222	0	89.222	3	89.222	0.07					
89.422	175.15	89.422	17.24	89.422	0	89.422	3	89.422	0.07					
89.622	168.2968	89.622	17.24	89.622	0	89.622	3	89.622	0.07					
89.822	161.7164	89.822	17.25	89.822	0	89.822	3	89.822	0.08					
90.022	155.0044	90.022	17.25	90.022	0	90.022	3	90.022	0.08					
90.222	148.61	90.222	17.25	90.222	0	90.222	3	90.222	0.08					
90.422	142.98	90.422	17.25	90.422	0	90.422	3	90.422	0.08					
90.622	137.76	90.622	17.25	90.622	0	90.622	3	90.622	0.08					
90.822	132.7747	90.822	17.26	90.822	0	90.822	3	90.822	0.07					
91.022	127.739	91.022	17.26	91.022	0	91.022	3	91.022	0.07					
91.222	122.8418	91.222	17.26	91.222	0	91.222	3	91.222	0.07					
91.421	118.59	91.421	17.26	91.421	0	91.421	3	91.421	0.08					
91.621	114.65	91.621	17.26	91.621	0	91.621	3	91.621	0.07					
91.821	110.8886	91.821	17.26	91.821	0	91.821	3	91.821	0.08					
92.021	107.1385	92.021	17.26	92.021	0	92.021	3	92.021	0.08					
92.221	103.347	92.221	17.27	92.221	0	92.221	3	92.221	0.08					
92.421	100.05	92.421	17.27	92.421	0	92.421	3	92.421	0.07					
92.621	97.07	92.621	17.27	92.621	0	92.621	3	92.621	0.07					
92.821	94.13722	92.821	17.27	92.821	0	92.821	3	92.821	0.07					
93.021	91.33704	93.021	17.27	93.021	0	93.021	3	93.021	0.07					
93.221	88.42945	93.221	17.27	93.221	0	93.221	3	93.221	0.07					
93.421	85.76022	93.421	17.27	93.421	0	93.421	3	93.421	0.08					
93.621	83.43	93.621	17.27	93.621	0	93.621	3	93.621	0.08					
93.821	81.2	93.821	17.27	93.821	0	93.821	3	93.821	0.08					
94.021	79.03	94.021	17.27967	94.021	0	94.021	3	94.021	0.08					
94.221	76.78825	94.221	17.28	94.221	0	94.221	3	94.221	0.08					
94.421	74.66108	94.421	17.28	94.421	0	94.421	3	94.421	0.08					
94.621	72.77216	94.621	17.28	94.621	0	94.621	3	94.621	0.07054199					
94.821	71.04	94.821	17.28	94.821	0	94.821	3	94.821	0.07					
95.021	69.38	95.021	17.29	95.021	0	95.021	3	95.021	0.08					
95.221	67.63068	95.221	17.29	95.221	0	95.221	3	95.221	0.08					
95.421	65.9125	95.421	17.29	95.421	0	95.421	3	95.421	0.07090008					
95.621	64.38281	95.621	17.29	95.621	0	95.621	3	95.621	0.08					
95.821	62.86	95.821	17.28	95.821	0	95.821	3	95.821	0.07108314					
96.021	61.49	96.021	17.28	96.021	0	96.021	3	96.021	0.07					
96.22	60.03696	96.22	17.28	96.22	0	96.22	3	96.22	0.07115942					
96.42	58.55725	96.42	17.28	96.42	0	96.42	3	96.42	0.08					
96.62	57.23343	96.62	17.27	96.62	0	96.62	3	96.62	0.08					
96.82	55.97	96.82	17.27	96.82	0	96.82	3	96.82	0.07					
97.02	54.68	97.02	17.27	97.02	0	97.02	3	97.02	0.08					
97.22	53.45984	97.22	17.27	97.22	0	97.22	3	97.22	0.08					
97.42	52.19711	97.42	17.27	97.42	0	97.42	3	97.42	0.07830534					
97.62	50.96739	97.62	17.27	97.62	0	97.62	3	97.62	0.08					
97.82	49.9	97.82	17.28	97.82	0	97.82	3	97.82	0.08					
98.02	48.89	98.02	17.28	98.02	0	98.02	3	98.02	0.07191457					
98.22	47.86411	98.22	17.29	98.22	0	98.22	3	98.22	0.08					
98.42	46.74727	98.42	17.3	98.42	0	98.42	3	98.42	0.08					
98.62	45.71495	98.62	17.3	98.62	0	98.62	3	98.62	0.08					
98.82	44.81	98.82	17.31	98.82	0	98.82	3	98.82	0.08					
99.02	43.95	99.02	17.31	99.02	0	99.02	3	99.02	0.07					
99.22	43.07	99.22	17.31	99.22	0	99.22	3	99.22	0.07					
99.42	42.13245	99.42	17.31	99.42	0	99.42	3	99.42	0.07					
99.62	41.29897	99.62	17.31	99.62	0	99.62	3	99.62	0.08					
99.82	40.53534	99.82	17.3	99.82	0	99.82	3	99.82	0.07					
100.02	39.77	100.02	17.3	100.02	0	100.02	3	100.02	0.08					
100.22	37.17	100.22	17.32	100.22	0	100.22	3	100.22	0.03					
100.42	37.26	100.42	17.32	100.42	0	100.42	3	100.42	0.06421816					
100.62	37.40696	100.62	17.32	100.62	0	100.62	3	100.62	0.08					
100.82	37.93934	100.82	17.31	100.82	0	100.82	3	100.82	0.08					
101.019	39.01468	101.019	17.31	101.019	0	101.019	3	101.019	0.08					
101.219	40.06	101.219	17.3	101.219	0	101.219	3	101.219	0.08					
101.419	40.94	101.419	17.3	101.419	0	101.419	3	101.419	0.07					
101.619	41.81	101.619	17.29	101.619	0	101.619	3	101.619	0.08					
101.819	43.01762	101.819	17.29	101.819	0	101.819	3	101.819	0.08					
102.019	44.84063	102.019	17.29	102.019	0	102.019	3	102.019	0.07					
102.219	46.44	102.219	17.29	102.219	0	102.219	3	102.219	0.08					
102.419	46.22	102.419	17.29	102.419	0	102.419	3	102.419	0.08					
102.619	43.91	102.619	17.29	102.619	0	102.619	3	102.619	0.07					
102.819	40.49202	102.819	17.29	102.819	0	102.819	3	102.819	0.08					
103.019	37.44215	103.019	17.29	103.019	0	103.019	3	103.019	0.08					
103.219	35.37618	103.219	17.29	103.219	0	103.219	3	103.219	0.08					
103.419	33.87	103.419	17.29	103.419	0	103.419	3	103.419	0.08					
103.619	32.75	103.619	17.29	103.619	0	103.619	3	103.619	0.08					
103.819	31.82054	103.819	17.29	103.819	0	103.819	3	103.819	0.09					
104.019	31.05721	104.019	17.29	104.019	0	104.019	3	104.019	0.08					
104.219	30.36334	104.219	17.29	104.219	0	104.219	3	104.219	0.08					
104.419	29.75	104.419	17.29	104.419	0	104.419	3	104.419	0.08					
104.619	29.22	104.619	17.29	104.619	0	104.619	3	104.619	0.08					
104.819	28.78952	104.819	17.29	104.819	0	104.819	3	104.819	0.08					
105.019	28.42921	105.019	17.29	105.019	0	105.019	3	105.019	0.08					
105.219	28.33517	105.219	17.29	105.219	0	105.219	3	105.219	0.08					
105.419	29.41	105.419	17.29	105.419	0	105.419	3	105.419	0.09					
105.619	33.47	105.619	17.29	105.619	0	105.619	3	105.619	0.09					
105.818	43.85971	105.818	17.29	105.818	0	105.818	3	105.818	0.09					
106.018	64.9248	106.018	17.29	106.018	0	106.018	3	106.018	0.09					
106.218	103.9347	106.218	17.29	106.218	0	106.218	3	106.218	0.09					
106.418	166.76	106.418	17.28	106.418	0	106.418	3	106.418	0.09					
106.618	251.88	106.618	17.27	106.618	0	106.618	3	106.618	0.09					
106.818	360.64	106.818	17.25556	106.818	0	106.818	3	106.818	0.09					
107.018	489.261	107.018	17.24	107.018	0	107.018	3	107.018	0.11					
107.218	619.2777	107.218	17.22	107.218	0	107.218	3	107.218	0.11					
107.418	718.14	107.418	17.21	107.418	0	107.418	3	107.418	0.11					
107.618	756.85	107.618	17.19	107.618	0	107.618	3	107.618	0.11					
107.818	724.49	107.818	17.17596	107.818	0	107.818	3	107.818	0.11					
108.018	624.564	108.018	17.14	108.018	0	108.018	3	108.018	0.11					
108.218	508.2906	108.218	17.06	108.218	0	108.218	3	108.218	0.11					
108.418	426.3688	108.418	16.86	108.418	0	108.418	3	108.418	0.11					
108.618	394.3	108.618	16.46788	108.618	0	108.618	3	108.618	0.11					
108.818	391.14	108.818	15.57625	108.818	0	108.818	3	108.818	0.11					
109.018	395.314	109.018	14.36	109.018	0	109.018	3	109.018	0.11					
109.218	386.3911	109.218	12.57	109.218	0	109.218	3	109.218	0.11					
109.418	356.9679	109.418	10.97	109.418	0	109.418	3	109.418	0.11					
109.618	315.54	109.618	9.12	109.618	0	109.618	3	109.618	0.11					
109.818	274.21	109.818	7.458261	109.818	0	109.818	3	109.818	0.12					
110.018	237.7976	110.018	5.650206	110.018	0	110.018	3	110.018	0.11					
110.218	206.0273	110.218	4.36	110.218	0	110.218	3	110.218	0.11					
110.418	177.067	110.418	3.36	110.418	0	110.418	3	110.418	0.12					
110.618	152.12	110.618	2.65	110.618	0	110.618	3	110.618	0.11					
110.817	132.04	110.817	2.13626	110.817	0	110.817	3	110.817	0.11					
111.017	114.805	111.017	1.760992	111.017	0	111.017	3	111.017	0.11					
111.217	101.0349	111.217	1.48	111.217	0	111.217	3	111.217	0.11					
111.417	88.79449	111.417	1.3	111.417	0	111.417	3	111.417	0.12					
111.617	78.82	111.617	1.1	111.617	0	111.617	3	111.617	0.12					
111.817	71.03	111.817	0.98	111.817	0	111.817	3	111.817	0.12					
112.017	64.17	112.017	0.8976811	112.017	0	112.017	3	112.017	0.12					
112.217	57.80652	112.217	0.82	112.217	0	112.217	3	112.217	0.12					
112.417	52.01836	112.417	0.77	112.417	0	112.417	3	112.417	0.11					
112.617	46.65	112.617	0.73	112.617	0	112.617	3	112.617	0.12					
112.817	42.14	112.817	0.69	112.817	0	112.817	3	112.817	0.11					
113.017	38.21	113.017	0.668084	113.017	0	113.017	3	113.017	0.12					
113.217	34.43734	113.217	0.64	113.217	0	113.217	3	113.217	0.12					
113.417	31.03304	113.417	0.63	113.417	0	113.417	3	113.417	0.12					
113.617	27.89927	113.617	0.62	113.617	0	113.617	3	113.617	0.12					
113.817	25.26	113.817	0.62	113.817	0	113.817	3	113.817	0.11					
114.017	22.98	114.017	0.61	114.017	0	114.017	3	114.017	0.11					
114.217	20.80067	114.217	0.61	114.217	0	114.217	3	114.217	0.11					
114.417	18.81992	114.417	0.6	114.417	0	114.417	3	114.417	0.11					
114.617	16.88036	114.617	0.6	114.617	0	114.617	3	114.617	0.11					
114.817	15.24	114.817	0.6	114.817	0	114.817	3	114.817	0.11					
115.017	13.83	115.017	0.6	115.017	0	115.017	3	115.017	0.11					
115.217	12.51705	115.217	0.6	115.217	0	115.217	3	115.217	0.11					
115.417	11.30217	115.417	0.6	115.417	0	115.417	3	115.417	0.11					
115.616	10.06191	115.616	0.59	115.616	0	115.616	3	115.616	0.11					
115.816	8.93	115.816	0.59	115.816	0	115.816	3	115.816	0.11					
116.016	7.99	116.016	0.59	116.016	0	116.016	3	116.016	0.11					
116.216	7.08884	116.216	0.59	116.216	0	116.216	3	116.216	0.12					
116.416	6.24595	116.416	0.59	116.416	0	116.416	3	116.416	0.11					
116.616	5.456359	116.616	0.59	116.616	0	116.616	3	116.616	0.12					
116.816	4.68	116.816	0.59	116.816	0	116.816	3	116.816	0.12					
117.016	3.99	117.016	0.59	117.016	0	117.016	3	117.016	0.11					
117.216	3.35	117.216	0.59	117.216	0	117.216	3	117.216	0.11					
117.416	2.779733	117.416	0.59	117.416	0	117.416	3	117.416	0.11					
117.616	2.249947	117.616	0.59	117.616	0	117.616	3	117.616	0.11					
117.816	1.711038	117.816	0.59	117.816	0	117.816	3	117.816	0.11					
118.016	1.220351	118.016	0.59	118.016	0	118.016	3	118.016	0.11					
118.216	0.77	118.216	0.59	118.216	0	118.216	3	118.216	0.12					
118.416	0.35	118.416	0.59	118.416	0	118.416	3	118.416	0.11					
118.616	-0.08	118.616	0.59	118.616	0	118.616	3	118.616	0.11					
118.816	-0.5662624	118.816	0.59	118.816	0	118.816	3	118.816	0.11					
119.016	-0.9882838	119.016	0.59	119.016	0	119.016	3	119.016	0.12					
119.216	-1.39	119.216	0.59	119.216	0	119.216	3	119.216	0.12					
119.416	-1.75	119.416	0.59	119.416	0	119.416	3	119.416	0.11					
119.616	-2.099214	119.616	0.59	119.616	0	119.616	3	119.616	0.11					
119.816	-2.456278	119.816	0.59	119.816	0	119.816	3	119.816	0.12					
120.016	-2.768063	120.016	0.59	120.016	0	120.016	3	120.016	0.12					
120.216	-3.05	120.216	0.59	120.216	0	120.216	3	120.216	0.11					
120.415	-3.34	120.415	0.59	120.415	0	120.415	3	120.415	0.11					
120.615	-3.61	120.615	0.58	120.615	0	120.615	3	120.615	0.11					
120.815	-3.887346	120.815	0.58	120.815	0	120.815	3	120.815	0.11					
121.015	-4.145924	121.015	0.58	121.015	0	121.015	3	121.015	0.11					
121.215	-4.38	121.215	0.58	121.215	0	121.215	3	121.215	0.11					
121.415	-4.6	121.415	0.58	121.415	0	121.415	3	121.415	0.11					
121.615	-4.8	121.615	0.58	121.615	0	121.615	3	121.615	0.11					
121.815	-5.008276	121.815	0.58	121.815	0	121.815	3	121.815	0.11					
122.015	-5.280694	122.015	0.58	122.015	0	122.015	3	122.015	0.11					
122.215	-5.49	122.215	0.58	122.215	0	122.215	3	122.215	0.11					
122.415	-5.65	122.415	0.58	122.415	0	122.415	3	122.415	0.11					
122.615	-5.82	122.615	0.58	122.615	0	122.615	3	122.615	0.11					
122.815	-6.967878	122.815	0.58	122.815	0	122.815	3	122.815	0.03					
123.015	-6.9	123.015	0.58	123.015	0	123.015	3	123.015	0.09					
123.215	-6.71	123.215	0.58	123.215	0	123.215	3	123.215	0.11					
123.415	-6.38	123.415	0.58	123.415	0	123.415	3	123.415	0.12					
123.615	-5.867437	123.615	0.58	123.615	0	123.615	3	123.615	0.11					
123.815	-4.735377	123.815	0.58	123.815	0	123.815	3	123.815	0.11					
124.015	-2.793089	124.015	0.58	124.015	0	124.015	3	124.015	0.11					
124.215	-0.65	124.215	0.58	124.215	0	124.215	3	124.215	0.12					
124.415	0.96	124.415	0.58	124.415	0	124.415	3	124.415	0.11					
124.615	2.094244	124.615	0.58	124.615	0	124.615	3	124.615	0.11					
124.815	2.378741	124.815	0.58	124.815	0	124.815	3	124.815	0.11					
125.015	1.553588	125.015	0.58	125.015	0	125.015	3	125.015	0.11					
125.215	0.02	125.215	0.58	125.215	0	125.215	3	125.215	0.11					
125.414	-1.44	125.414	0.58	125.414	0	125.414	3	125.414	0.09					
125.614	-2.77	125.614	0.58	125.614	0	125.614	3	125.614	0.08					
125.814	-4.118856	125.814	0.58	125.814	0	125.814	3	125.814	0.08					
126.014	-5.311625	126.014	0.58	126.014	0	126.014	3	126.014	0.08					
126.214	-6.25	126.214	0.58	126.214	0	126.214	3	126.214	0.08					
126.414	-6.95	126.414	0.58	126.414	0	126.414	3	126.414	0.08					
126.614	-7.53	126.614	0.58	126.614	0	126.614	3	126.614	0.08					
126.814	-7.998573	126.814	0.58	126.814	0	126.814	3	126.814	0.07					
127.014	-8.298444	127.014	0.58	127.014	0	127.014	3	127.014	0.07					
127.214	-8.107985	127.214	0.58	127.214	0	127.214	3	127.214	0.07					
127.414	-7.18	127.414	0.58	127.414	0	127.414	3	127.414	0.07					
127.614	-5.44	127.614	0.58	127.614	0	127.614	3	127.614	0.07					
127.814	-2.985847	127.814	0.58	127.814	0	127.814	3	127.814	0.07					
128.014	0.2531298	128.014	0.58	128.014	0	128.014	3	128.014	0.07					
128.214	3.977866	128.214	0.58	128.214	0	128.214	3	128.214	0.07					
128.414	7.8	128.414	0.59	128.414	0	128.414	3	128.414	0.07					
128.614	11.39	128.614	0.59	128.614	0	128.614	3	128.614	0.07					
128.814	14.65038	128.814	0.61	128.814	0	128.814	3	128.814	0.07					
129.014	17.3425	129.014	0.63	129.014	0	129.014	3	129.014	0.07					
129.214	18.98425	129.214	0.66	129.214	0	129.214	3	129.214	0.05					
129.414	19.38	129.414	0.75	129.414	0	129.414	3	129.414	0.05					
129.614	18.94	129.614	0.85	129.614	0	129.614	3	129.614	0.05					
129.814	18.23	129.814	1.013008	129.814	0	129.814	3	129.814	0.07					
130.014	18.09278	130.014	1.25	130.014	0	130.014	3	130.014	0.07					
130.214	18.99939	130.214	1.62	130.214	0	130.214	3	130.214	0.07					
130.414	20.54	130.414	1.99	130.414	0	130.414	3	130.414	0.07					
130.613	21.84	130.613	2.541038	130.613	0	130.613	3	130.613	0.05					
130.813	22.41	130.813	3.159771	130.813	0	130.813	3	130.813	0.05					
131.013	22.3461	131.013	3.75	131.013	0	131.013	3	131.013	0.05					
131.213	21.97488	131.213	4.3	131.213	0	131.213	3	131.213	0.05					
131.413	21.44293	131.413	4.99	131.413	0	131.413	3	131.413	0.05					
131.613	20.4	131.613	5.54	131.613	0	131.613	3	131.613	0.05					
131.813	18.47	131.813	6.220443	131.813	0	131.813	3	131.813	0.04					
132.013	15.83037	132.013	6.908842	132.013	0	132.013	3	132.013	0.04					
132.213	13.46679	132.213	7.53	132.213	0	132.213	3	132.213	0.05					
132.413	11.87576	132.413	8.14	132.413	0	132.413	3	132.413	0.05					
132.613	10.3	132.613	8.93	132.613	0	132.613	3	132.613	0.05					
132.813	8.68	132.813	9.699314	132.813	0	132.813	3	132.813	0.05					
133.013	7.474015	133.013	10.38	133.013	0	133.013	3	133.013	0.04					
133.213	6.863649	133.213	11.17	133.213	0	133.213	3	133.213	0.05					
133.413	6.69	133.413	11.76	133.413	0	133.413	3	133.413	0.04					
133.613	6.81	133.613	12.33	133.613	0	133.613	3	133.613	0.05					
133.813	7.14	133.813	13	133.813	0	133.813	3	133.813	0.05					
134.013	7.51	134.013	13.59549	134.013	0	134.013	3	134.013	0.04					
134.213	7.814092	134.213	14.08	134.213	0	134.213	3	134.213	0.04					
134.413	8.016153	134.413	14.61	134.413	0	134.413	3	134.413	0.04					
134.613	8.13	134.613	14.99	134.613	0	134.613	3	134.613	0.05					
134.813	8.12	134.813	15.39646	134.813	0	134.813	3	134.813	0.04					
135.013	8.03	135.013	15.7351	135.013	0	135.013	3	135.013	0.05					
135.213	8.028427	135.213	16.02	135.213	0	135.213	3	135.213	0.05					
135.413	8.203963	135.413	16.24	135.413	0	135.413	3	135.413	0.04					
135.613	8.51	135.613	16.46	135.613	0	135.613	3	135.613	0.05					
135.813	8.92	135.813	16.6	135.813	0	135.813	3	135.813	0.04					
136.013	9.33	136.013	16.74732	136.013	0	136.013	3	136.013	0.05					
